trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.6, 'e': 0.09475000000000058}",20,10,16.86055529550469,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.09470000000000059}",30,7,40.597916972277076,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.0946500000000006}",20,0,26.670493687682963,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.6, 'e': 0.0946000000000006}",20,0,23.164214975721663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.6, 'e': 0.0945500000000006}",25,0,36.43617620534112,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.6, 'e': 0.09450000000000061}",20,12,13.013969420025589,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.09445000000000062}",20,16,7.392459738891668,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.09440000000000062}",25,11,-28.243542236683236,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.6, 'e': 0.09435000000000063}",20,12,15.621520124887176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.09430000000000063}",20,6,25.30953475048237,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.09425000000000064}",20,10,16.233071650991604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.09420000000000064}",25,7,27.97345169692439,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.09415000000000065}",20,0,6.168647304740152,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
118,False,"{'a': 0.6, 'e': 0.09410000000000066}",30,17,8.174091702485729,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.09405000000000066}",20,0,30.96597203037553,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.6, 'e': 0.09400000000000067}",30,2,42.42516036128899,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.09395000000000067}",20,12,11.49902259540373,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.09390000000000068}",20,2,29.695341466822136,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.09385000000000068}",25,0,-2.897230371958444,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.6, 'e': 0.09380000000000069}",20,0,17.81513818089816,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.6, 'e': 0.0937500000000007}",20,8,23.30720120648565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.6, 'e': 0.0937000000000007}",20,0,30.118234544757495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.6, 'e': 0.0936500000000007}",25,9,15.743413056891015,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
